fecha,bytes_total,requests_total,total_transfer,promedio_por_request,peso_imagenes,peso_scripts,peso_css,fcp,lcp,speed_index,tbt,clst,cpu_time_ms,cpu_avg_percent,ram_avg_mb,energia_kwh,co2_kg,eficiencia_transferencia_kb_request,porcentaje_imagenes
2026-04-18,3703487,221,3703487,16757.859728506788,693798,2758860,7975,1519.307,3217.3855000000003,1763.7968440660825,2120,0,3713.515999999965,0.13478260869565217,9.12890625,0.006666276600000001,0.00299982447,16.757859728506787,0.18733642105399587
2026-04-19,3703902,223,3703902,16609.42600896861,694170,2758275,7974,1532.9995,3136.6235000000006,1601.1094040063317,2104.5,0,3795.599999999969,0.1409090909090909,9.13671875,0.0066670235999999996,0.00300016062,16.60942600896861,0.1874158657545475
2026-04-20,3642982,221,3642982,16484.0814479638,640052,2756061,7976,1522.8665,3366.5899999999992,1522.8665,1972.5000000000036,0,3548.051999999969,19.62857142857143,532.9034598214286,0.0065573676,0.00295081542,16.4840814479638,0.17569452717581366
2026-04-21,3654345,224,3654345,16314.04017857143,640065,2759465,7976,1550.7999999999997,3253.6659999999993,5746.714228556015,2199.9999999999964,0,4002.8919999999666,28.1125,654.4775390625,0.006577821,0.00296001945,16.314040178571428,0.17515177138447519
2026-04-22,3472195,215,3472195,16149.744186046511,611047,2612063,7975,1522.2620000000002,3510.83625,4994.580017511954,2041.9999999999964,0,3760.12399999997,13.6625,559.08984375,0.006249951,0.00281247795,16.14974418604651,0.17598291570605915
2026-04-24,3624734,223,3624734,16254.412556053812,611481,2757585,7978,1520.7060000000001,3542.8075,1601.9134031147935,2005.4999999999982,0,3704.7479999999646,20.528571428571432,533.3275669642857,0.0065245212,0.00293603454,16.25441255605381,0.1686967926474053
2026-04-26,3626147,222,3626147,16333.995495495496,611332,2758739,7975,1529.326,3455.7350000000024,1686.54468944095,2060.5,0,4614.563999999965,20.97142857142857,532.3755580357143,0.0065270646,0.0029371790700000004,16.333995495495497,0.16858996615415756
2026-04-27,3644147,220,3644147,16564.304545454546,624270,2756906,7975,1529.1405,3388.5885000000003,1529.1405,3480,0.002402,7234.919999999966,29.855555555555554,669.7756076388889,0.0065594646,0.00295175907,16.564304545454547,0.17130757897527185
2026-04-28,3691250,220,3691250,16778.409090909092,675847,2755938,7975,1533.1625,13690.899499999996,2268.3493220368255,2100.5,0,4733.131999999845,26.925,518.13720703125,0.00664425,0.0029899125,16.778409090909093,0.18309434473416863
2026-04-29,3509372,223,3509372,15737.094170403587,492792,2755994,7974,1532.1580000000004,13500.179,1981.233744516411,2262.5,0,4807.84399999996,16.3875,568.6005859375,0.0063168696,0.0028425913200000002,15.737094170403587,0.1404217050799972
2026-05-01,3519620,221,3519620,15925.882352941177,525217,2735301,8208,1524.157,11750.799,1524.157,2017,0,4359.447999999961,16.4,531.78515625,0.0063353160000000006,0.0028508922000000003,15.925882352941176,0.14922548456935691
2026-05-04,3521657,221,3521657,15935.099547511312,524901,2738016,8028,1537.308,11897.448999999999,2757.187510509838,3137.500000000002,0,6411.651999999964,32.4,608.2412109375,0.0063389826,0.00285254217,15.935099547511312,0.14904943894308845
2026-05-05,3523391,219,3523391,16088.543378995433,525624,2740031,8031,9202.459750000002,18904.322499999995,9202.459750000002,1803.5,0,4441.27199999996,14.714285714285717,536.1657366071429,0.0063421038,0.00285394671,16.088543378995432,0.1491812858692095
2026-05-06,3524489,222,3524489,15876.076576576577,525550,2739089,8004,1517.0030000000002,11894.862000000001,1517.0030000000002,1931.9999999999982,0,4363.107999999957,18.285714285714285,525.6529017857143,0.0063440802,0.00285483609,15.876076576576578,0.1491138147969819
2026-05-07,3530730,220,3530730,16048.772727272728,522730,2748644,8208,7874.4555,22078.8465,8842.692324436543,1761.009500000002,0,4455.267999999948,18.75714285714286,533.3655133928571,0.006355314000000001,0.0028598913000000004,16.048772727272727,0.14805153608460572
2026-05-08,3606174,221,3606174,16317.529411764706,604480,2743157,8027,1506.5649999999998,12591.851000000002,2204.843052465263,4780.000000000002,0,8102.235999999886,30.45,619.791015625,0.006491113200000001,0.00292100094,16.317529411764706,0.16762363657438603
2026-05-12,3510345,209,3510345,16795.909090909092,504299,2752615,7999,1594.528,11389.202999999996,1985.1858069292366,2006,0,4399.535999999918,51.925,639.59423828125,0.006318621,0.00284337945,16.795909090909092,0.14366080826813318
