fecha,bytes_total,requests_total,total_transfer,promedio_por_request,peso_imagenes,peso_scripts,peso_css,fcp,lcp,speed_index,tbt,clst,cpu_time_ms,cpu_avg_percent,ram_avg_mb,energia_kwh,co2_kg,eficiencia_transferencia_kb_request,porcentaje_imagenes
2026-03-23,4701979,1454,4701978,3233.8225584594225,958381,2553587,75083,6988.758000000001,21483.26674,10467.680105194344,1209.6520474999943,0,3918.9800000000137,0.056363636363636366,9.109375,0.0084635604,0.00380860218,3.2338225584594222,0.20382507106583655
2026-03-24,4410368,1060,4410367,4160.723584905661,951896,2496113,75608,2634.8324999999995,5082.256499999999,7315.593061801895,1044.4999999999964,0,3792.704000000018,0.05161290322580645,9.083291330645162,0.007938660600000001,0.0035723972700000004,4.160723584905661,0.21583147162129593
2026-03-25,4210406,1104,4210405,3813.772644927536,900751,2296898,75604,3093.8269999999998,7635.773499999999,5514.766897706013,6162.999999999991,0,9704.071999999946,0.03827160493827161,6.432291666666667,0.007578729000000001,0.0034104280500000007,3.813772644927536,0.21393452648854444
2026-03-26,5896593,1546,5896592,3814.095730918499,969956,3267844,93052,3389.143,7251.992,6921.01450211685,3592.5000000000073,0.024696000000000003,8231.035999999898,0.01951219512195122,9.074790396341463,0.0106138656,0.00477623952,3.814095730918499,0.1644943384246358
2026-03-27,3910074,512,3910073,7636.861328125,879065,2160211,68875,6996.959999999999,24283.27600000001,16183.956720943886,817.4999999999909,0,3394.8640000000087,0.10930232558139535,9.087572674418604,0.0070381314000000006,0.00316715913,7.636861328125,0.22482061076609056
2026-03-31,5542421,1966,5542420,2819.1353001017296,1074016,2922904,83344,7356.4845000000005,20794.693499999994,15612.639226504612,1422.4999999999927,0,4129.072000000005,0.01927710843373494,9.01675451807229,0.009976356,0.0044893602000000005,2.8191353001017294,0.19378105592863767
2026-04-01,4931469,1380,4931468,3573.527536231884,1126128,2535948,83250,3100.242,6462.854000000001,10792.4774784965,785.9999999999964,0,3231.7400000000102,0.03827160493827161,9.117814429012345,0.008876642399999999,0.00399448908,3.573527536231884,0.22835553226747085
2026-04-03,6322395,1570,6322394,4027.002547770701,968520,3877763,67999,7852.577,25866.35100000001,12200.85221885956,3915.073364999984,0,9851.975999999982,0.0408695652173913,9.12914402173913,0.0113803092,0.0051211391400000006,4.027002547770701,0.15318880791042128
2026-04-04,4494586,1555,4494585,2890.4083601286175,883106,2514063,68008,8480.1505,26562.085017499994,13731.430637574482,1482.5,0,4015.5520000000024,0.05731707317073171,9.138814786585366,0.008090253,0.00364061385,2.8904083601286175,0.1964822113721289
2026-04-05,5083733,1122,5083732,4530.955436720143,926110,3063524,78502,2760.183,4134.951,11199.86539232912,1743.0000000000018,0,4659.091999999988,0.04428571428571429,9.171875,0.0091507176,0.00411782292,4.530955436720142,0.1821712867633463
2026-04-06,4867553,1968,4867552,2473.349593495935,922345,2611939,78581,7309.659000000001,20842.488000000005,12120.027103217793,1858.4999999999854,0,4990.8159999999825,0.04428571428571429,8.834709821428572,0.0087615936,0.0039427171200000005,2.4733495934959353,0.18948847387762885
2026-04-07,4620085,1152,4620084,4010.4895833333335,954884,2463212,82368,8257.996,19935.42375,12566.007310681598,1083.5000000000036,0,3358.499999999995,0.050793650793650794,9.185391865079366,0.0083161512,0.0037422680400000003,4.010489583333333,0.20668109064683673
2026-04-08,5279609,1676,5279608,3150.1241050119334,851449,2934584,83264,2935.2455,8707.3595,15227.424002740858,71611.38900000005,0.000121,37738.15599999994,0.04476190476190477,6.41796875,0.0095032944,0.0042764824800000005,3.1501241050119333,0.16127125347184867
2026-04-10,5312397,1714,5312396,3099.414235705951,807369,2970561,72765,3072.955,8142.427499999999,10292.559894175625,14487.15300000001,0,17583.10399999993,0.04234234234234235,6.616342905405405,0.0095623128,0.00430304076,3.099414235705951,0.15197831637551115
2026-04-11,5109154,1703,5109153,3000.0898414562535,876081,2687864,77520,3030.5195,7916.4085,8032.0672280607705,2673.994000000011,0.006275,6173.751999999969,0.0,9.111646075581396,0.009196475400000001,0.00413841393,3.0000898414562536,0.17147284491186698
2026-04-12,6216036,4015,6216035,1548.2029887920298,1090336,2760652,81887,3084.3205000000003,6025.674500000001,18235.864157164302,1857.4999999999964,0.009145,5090.728000000001,0.04476190476190477,9.149441964285714,0.011188863,0.00503498835,1.5482029887920299,0.1754069917559988
2026-04-13,5262270,1858,5262269,2832.2222820236816,1498117,2394143,78566,8489.933,28295.2445,17355.7414041384,3331.5000000000055,0,6758.4439999999895,0.03827160493827161,8.587721836419753,0.0094720842,0.00426243789,2.8322222820236815,0.2846903113466833
2026-04-14,5020988,1371,5020987,3662.2808169219547,1376359,2533773,78526,2966.6014999999998,8674.2965,9536.810233989416,1450.5,0,4143.276000000001,0.03875,9.125927734375,0.0090377766,0.004066999470000001,3.662280816921955,0.2741212036597585
2026-04-15,10228400,3991,10228399,2562.8661989476323,3549896,4163939,96072,17433.70295,42531.114900000015,17433.70295,3475.000000000029,0.20634599999999997,10633.00799999988,0.028070175438596492,9.16844846491228,0.018411118200000003,0.008285003190000001,2.5628661989476322,0.34706272213275996
2026-04-17,5176292,1563,5176741,3312.0543825975687,777170,3047012,72723,10996.0585,27964.452930000007,24413.387076755265,1934.9999999999945,0.01829,5615.884000000001,0.016129032258064516,9.162802419354838,0.009318133800000001,0.0041931602100000005,3.3120543825975686,0.15012727119243555
