fecha,bytes_total,requests_total,total_transfer,promedio_por_request,peso_imagenes,peso_scripts,peso_css,fcp,lcp,speed_index,tbt,clst,cpu_time_ms,cpu_avg_percent,ram_avg_mb,energia_kwh,co2_kg,eficiencia_transferencia_kb_request,porcentaje_imagenes
2026-04-18,11477177,141,11477177,81398.41843971632,575989,1249429,33554,6818.574622329714,16440.784,9434.926949442624,1206,0.007097,4434.355999999994,0.16785714285714287,9.09765625,0.0206589186,0.00929651337,81.39841843971632,0.05018559877572682
2026-04-19,12240701,143,12240701,85599.30769230769,583895,1542842,33704,6653.928154171754,19984.202500000003,8314.126475857356,440.9999999999982,0.005331,2461.104000000019,0.17222222222222222,9.12109375,0.0220332618,0.00991496781,85.59930769230769,0.04770110796759107
2026-04-20,10841349,138,10841349,78560.5,587324,1545746,33839,6465.754254171754,20056.311,10421.519718542815,402.4999999999982,0.00713,2420.288000000004,35.22857142857143,473.6439732142857,0.0195144282,0.00878149269,78.5605,0.05417443899278586
2026-04-21,11860598,139,11860598,85328.04316546762,623955,1253232,33899,5777.578750000001,16023.529264770505,8255.508779376007,402,0.00713,2219.8280000000195,30.771428571428572,480.18080357142856,0.0213490764,0.00960708438,85.32804316546762,0.052607381179262634
2026-04-22,12186658,142,12186658,85821.5352112676,595381,1563757,33903,5853.16045,18886.831,7839.226958646097,488.9999999999982,0.00713,2401.5720000000174,15.171428571428574,401.5697544642857,0.0219359844,0.00987119298,85.8215352112676,0.048855149623465266
2026-04-24,9014241,145,9014241,62167.17931034483,582883,1279698,33893,6422.569879394532,17149.475173950195,8150.499286471907,346,0.00713,2205.1080000000193,16.650000000000002,468.65625,0.0162256338,0.00730153521,62.16717931034483,0.06466246021156967
2026-04-26,12101466,144,12101466,84037.95833333333,597433,1579799,35738,6108.79235,18946.430500000002,7906.3425695576225,469,0.00713,2510.344000000019,16.666666666666668,456.017578125,0.0217826388,0.00980218746,84.03795833333332,0.04936864674081636
2026-04-27,11737555,144,11737555,81510.79861111111,589873,1572915,33983,6074.8107217865,20230.335,9416.101079675518,1410.000000000001,0.005331,4762.659999999999,51.771428571428565,487.6595982142857,0.021127599,0.00950741955,81.51079861111111,0.050255185172721234
2026-04-28,11898077,144,11898077,82625.53472222222,578296,1567506,33980,5859.328304171753,20246.63041,8334.471651304462,496.5,0.00713,2581.8600000000047,14.016666666666667,472.1171875,0.0214165386,0.00963744237,82.62553472222221,0.048604156789370245
2026-04-29,10308014,147,10308014,70122.54421768707,615348,1565301,33981,5966.6027,19162.436,8796.46723666633,504,0.002586,2525.080000000022,25.428571428571423,460.5970982142857,0.018554425200000002,0.008349491340000001,70.12254421768706,0.05969607724630564
2026-05-01,13266790,154,13266790,86147.98701298701,583203,1568737,35940,6727.207354171753,20434.61835417175,16094.434823973064,484.99999999999955,0.00713,2808.3640000000287,39.900000000000006,645.9782986111111,0.023880222000000003,0.010746099900000002,86.14798701298702,0.04395961645582692
2026-05-04,12191265,145,12191265,84077.68965517242,585853,1568669,35969,6887.3061369750985,20338.936546035766,9033.320632657604,1403.5,0.00713,4754.156000000001,40.1,498.95200892857144,0.021944277,0.00987492465,84.07768965517242,0.04805514440051955
2026-05-05,12053659,146,12053659,82559.30821917808,589629,1607746,35909,6914.456854171754,20420.496000000003,28823.328589302597,426.5,0.00713,2662.800000000007,11.85,589.98671875,0.0216965862,0.00976346379,82.55930821917808,0.04891701349772712
2026-05-06,9605792,146,9605792,65793.09589041096,619840,1607767,33997,5730.453679394531,20427.670000000002,19967.889700066185,481.0000000000018,0.007308,2506.6880000000197,9.655555555555555,558.8667534722222,0.0172904256,0.007780691520000001,65.79309589041095,0.06452773493325693
2026-05-07,8440617,145,8440617,58211.15172413793,573594,1573414,34067,6755.978649999999,19697.133499999996,9270.18209114559,491.5,0.002561,2507.572000000021,28.1,455.2611607142857,0.015193110599999999,0.00683689977,58.211151724137935,0.06795640650440601
2026-05-08,11837064,144,11837064,82201.83333333333,576841,1603347,33965,6955.341314651488,20600.25025,9200.735069458988,1392.5000000000018,0.00713,4783.739999999993,42.34285714285714,495.09598214285717,0.0213067152,0.00958802184,82.20183333333333,0.048731763214256506
